main_threat_actor_id,country,classification,active_since,last_observed,status,targeted_countries_regions,targeted_industries,attck_ttps
Blue Callisto,Russia,Nation State,2017,2023,active,UK; US; NATO/Western Europe,Government and defence; Academia and research; Think-tanks and NGOs; Individuals linked to foreign policy and security,T1566.002 - Phishing: Spearphishing Link; T1566.003 - Phishing: Spearphishing via Service; T1585.001 - Establish Accounts: Social Media Accounts; T1110 - Brute Force; T1078 - Valid Accounts; T1114.003 - Email Collection: Email Forwarding Rule; T1071.001 - Application Layer Protocol: Web Protocols
Gamaredon,Russia,Nation State,2013,2024,very active,Ukraine and surrounding NATO countries,Ukrainian government; Military and law enforcement; Critical infrastructure and security-related organisations,T1566.001 - Phishing: Spearphishing Attachment; T1566.002 - Phishing: Spearphishing Link; T1105 - Ingress Tool Transfer; T1027 - Obfuscated Files or Information; T1053.005 - Scheduled Task/Job: Scheduled Task; T1114.002 - Email Collection: Remote Email Collection; T1071.001 - Application Layer Protocol: Web Protocols
Sandworm Team,Russia,Nation State,2009,2024,active,Ukraine; Eastern Europe; Entities supporting Ukraine,Energy and electric utilities; ICT/OT and critical infrastructure; Telecoms and satellite communications; Government; Media,T1190 - Exploit Public-Facing Application; T1565.002 - Data Manipulation: Transmitted Data Manipulation; T1485 - Data Destruction; T1489 - Service Stop; T1021 - Remote Services; T1059.003 - Command and Scripting Interpreter: Windows Command Shell; T1071.001 - Application Layer Protocol: Web Protocols
Turla,Russia,Nation State,2004,2024,ongoing,Europe; former Soviet republics; Middle East; North America,Government and foreign affairs; Defence; Research and security policy organisations; Energy,T1566.001 - Phishing: Spearphishing Attachment; T1190 - Exploit Public-Facing Application; T1105 - Ingress Tool Transfer; T1078 - Valid Accounts; T1090 - Proxy; T1003 - OS Credential Dumping; T1071.001 - Application Layer Protocol: Web Protocols
Void Blizzard,Russia,Nation State,2024,,,Ukraine; NATO/Western Europe,Government and defense/security; Critical infrastructure in targeted states,T1566 - Phishing; T1078 - Valid Accounts; T1114.003 - Email Collection: Email Forwarding Rule; T1059 - Command and Scripting Interpreter; T1071.001 - Application Layer Protocol: Web Protocols
APT38,North Korea,Nation State,2009,2023,active/ongoing,Asia (especially South and Southeast Asia); Middle East and Africa (major banking hubs),Banks and financial institutions (SWIFT-connected); Cryptocurrency exchanges and fintech,T1566.001 - Phishing: Spearphishing Attachment; T1190 - Exploit Public-Facing Application; T1078 - Valid Accounts; T1003.001 - OS Credential Dumping: LSASS Memory; T1105 - Ingress Tool Transfer; T1041 - Exfiltration Over C2 Channel; T1486 - Data Encrypted for Impact; T1027 - Obfuscated Files or Information
Lazarus,North Korea,Nation State,2009,2024,active/ongoing,South Korea; United States; Global cryptocurrency ecosystem (major exchanges and DeFi platforms),Government and defense; Media and entertainment; Financial services and cryptocurrency; Software and IT service providers (incl. supply chain targets),T1566.001 - Phishing: Spearphishing Attachment; T1190 - Exploit Public-Facing Application; T1078 - Valid Accounts; T1105 - Ingress Tool Transfer; T1059.003 - Command and Scripting Interpreter: Windows Command Shell; T1485 - Data Destruction; T1041 - Exfiltration Over C2 Channel; T1027 - Obfuscated Files or Information
Kimsuky,North Korea,Nation State,2012,2024,active/ongoing,South Korea; United States; Japan and nearby East Asian states,Government and foreign affairs (especially Korea-related); Think tanks and academia researching DPRK/nuclear issues; Defense and security policy organisations; Media focused on the Korean Peninsula,T1566.001 - Phishing: Spearphishing Attachment; T1566.002 - Phishing: Spearphishing Link; T1204.002 - User Execution: Malicious File; T1114.003 - Email Collection: Email Forwarding Rule; T1555 - Credentials from Password Stores; T1003.001 - OS Credential Dumping: LSASS Memory; T1071.001 - Application Layer Protocol: Web Protocols; T1585.001 - Establish Accounts: Social Media Accounts
Moonstone Sleet,North Korea,Nation State,2023,2024,active/ongoing,United States; South Korea; Europe (organisations tied to IT and gaming and crypto),Software and IT services (incl. developer tooling); Gaming and technology companies; Cryptocurrency and blockchain firms,T1566.001 - Phishing: Spearphishing Attachment; T1204.002 - User Execution: Malicious File; T1190 - Exploit Public-Facing Application; T1105 - Ingress Tool Transfer; T1078 - Valid Accounts; T1486 - Data Encrypted for Impact; T1027 - Obfuscated Files or Information; T1041 - Exfiltration Over C2 Channel
ScarCruft,North Korea,Nation State,2012,2024,active/ongoing,South Korea; Other East Asian countries (e.g. Japan),Government and military (primarily South Korea); Defense and aerospace; NGOs and think tanks focused on DPRK issues; Industrial and manufacturing firms,T1566.001 - Phishing: Spearphishing Attachment; T1190 - Exploit Public-Facing Application; T1203 - Exploitation for Client Execution; T1105 - Ingress Tool Transfer; T1071.001 - Application Layer Protocol: Web Protocols; T1003.001 - OS Credential Dumping: LSASS Memory; T1027 - Obfuscated Files or Information; T1059.003 - Command and Scripting Interpreter: Windows Command Shell
WageMole,North Korea,Nation State,2024,2026,,South America; United States; Canada; Europe; India; Pakistan; Australia,Cryptocurrency; Financial Service; Technology,T1195 - Supply Chain Compromise; T1059 - Command and Scripting Interpreter; T1027 - Obfuscated Files or Information; T1555 - Credentials from Password Stores; T1005 - Data from Local System; T1071 - Application Layer Protocol; T1041 - Exfiltration Over C2 Channel; T1657 - Financial Theft
APT33,Iran,Nation State,2018,2022,,Gulf region (esp. Saudi Arabia and neighbours); United States,Energy (oil and gas and petrochemical); Aviation and aerospace; Government and defense-related entities,T1566.001 - Phishing: Spearphishing Attachment; T1190 - Exploit Public-Facing Application; T1078 - Valid Accounts; T1105 - Ingress Tool Transfer; T1059.003 - Command and Scripting Interpreter: Windows Command Shell; T1021.001 - Remote Services: Remote Desktop Protocol; T1003.001 - OS Credential Dumping: LSASS Memory; T1071.001 - Application Layer Protocol: Web Protocols
Charming Kitten,Iran,Nation State,2014,2024,active/ongoing,United States; Europe (esp. UK/EU states); Israel,Government and foreign affairs; Think tanks and academia (foreign policy and nuclear/security); Activists and journalists and NGOs focused on Iran/Middle East policy,T1566.002 - Phishing: Spearphishing Link; T1566.003 - Phishing: Spearphishing via Service; T1585.001 - Establish Accounts: Social Media Accounts; T1204.002 - User Execution: Malicious File; T1078 - Valid Accounts; T1114.003 - Email Collection: Email Forwarding Rule; T1110 - Brute Force; T1071.001 - Application Layer Protocol: Web Protocols
MuddyWater,Iran,Nation State,2017,2024,active/ongoing,Middle East (Iraq and Saudi Arabia and other Gulf states); Turkey; Pakistan,Government; Telecommunications; Defense and security services; Oil and gas/other critical infrastructure,T1566.001 - Phishing: Spearphishing Attachment; T1059.001 - Command and Scripting Interpreter: PowerShell; T1105 - Ingress Tool Transfer; T1027 - Obfuscated Files or Information; T1082 - System Information Discovery; T1083 - File and Directory Discovery; T1071.001 - Application Layer Protocol: Web Protocols; T1003 - OS Credential Dumping
HAZY TIGER,India,Nation State,2011,2025,,Bangladesh; China; India; Madagascar; Pakistan,Government; Military,T1566 - Phishing; T1203 - Exploitation for Client Execution; T1059 - Command and Scripting Interpreter; T1137 - Office Application Startup; T1068 - Exploitation for Privilege Escalation; T1021 - Remote Services; T1071 - Application Layer Protocol
Sea Turtle,Turkey,Nation State,2021,2025,,Middle East; Albania; Armenia; Cyprus; Netherlands; Sweden,Energy; Government; Military; NGO; Telecom,T1584 - Compromise Infrastructure; T1190 - Exploit Public-Facing Application; T1505 - Server Software Component; T1565 - Data Manipulation
